zAbs,zMes,Ka,Kb,La,Lb,Ll,Ma,Mb
He,Sb,0,0,1,1,0,0,0
He,Te,0,0,1,1,0,0,0
He,I,0,0,1,0,0,0,0
He,Xe,0,0,1,0,0,0,0
He,Cs,0,0,0,0,0,0,0
He,Ba,0,0,0,0,0,0,0
He,La,0,0,0,0,0,108,100
He,Ce,0,0,0,0,0,90,84
He,Pr,0,0,0,0,0,76,71
He,Nd,0,0,0,0,0,64,60
He,Pm,0,0,0,0,0,0,0
He,Sm,0,0,0,0,0,46,44
He,Eu,0,0,0,0,0,40,37
He,Gd,0,0,0,0,0,34,32
He,Tb,0,0,0,0,0,29,28
He,Dy,0,0,0,0,0,26,24
He,Ho,0,0,0,0,0,22,21
He,Er,0,0,0,0,0,19,18
He,Tm,0,0,0,0,0,17,16
He,Yb,0,0,0,0,0,15,14
He,Lu,0,0,0,0,0,13,12
He,Hf,0,0,0,0,0,12,10
He,Ta,0,0,0,0,0,10,9
He,W,0,0,0,0,0,9,8
He,Re,0,0,0,0,0,8,7
He,Os,0,0,0,0,0,7,6
He,Ir,0,0,0,0,0,6,5
He,Pt,0,0,0,0,0,6,5
He,Au,0,0,0,0,0,5,4
He,Hg,0,0,0,0,0,4,4
He,Tl,0,0,0,0,0,4,3
He,Pb,0,0,0,0,0,4,3
He,Bi,0,0,0,0,0,3,3
He,Po,0,0,0,0,0,0,0
He,At,0,0,0,0,0,0,0
He,Rn,0,0,0,0,0,0,0
He,Fr,0,0,0,0,0,0,0
He,Ra,0,0,0,0,0,0,0
He,Ac,0,0,0,0,0,0,0
He,Th,0,0,0,0,0,2,1
He,Pa,0,0,0,0,0,1,1
He,U,0,0,0,0,0,1,1
Li,H,0,0,0,0,0,0,0
Li,He,0,0,0,0,0,0,0
Li,Li,0,0,0,0,0,0,0
Li,Be,172509,0,0,0,0,0,0
Li,B,32746,0,0,0,0,0,0
Li,C,10420,0,0,0,0,0,0
Li,N,3917,0,0,0,0,0,0
Li,O,1682,0,0,0,0,0,0
Li,F,789,0,0,0,0,0,0
Li,Ne,395,0,0,0,0,0,0
Li,Na,209,191,0,0,0,0,0
Li,Mg,115,102,0,0,0,0,0
Li,Al,66,57,0,0,0,0,0
Li,Si,40,33,0,0,0,0,0
Li,P,25,20,0,0,0,0,0
Li,S,16,13,0,0,0,0,0
Li,Cl,10,8,0,0,0,0,0
Li,Ar,7,5,0,0,0,0,0
Li,K,5,4,0,0,0,0,0
Li,Ca,3,3,5818,5818,0,0,0
Li,Sc,2,2,3833,3697,0,0,0
Li,Ti,2,1,2602,2504,0,0,0
Li,V,1,1,1821,1740,0,0,0
Li,Cr,1,1,1299,1234,0,0,0
Li,Mn,1,1,948,896,0,0,0
Li,Fe,1,0,698,657,0,0,0
Li,Co,0,0,521,491,0,0,0
Li,Ni,0,0,391,367,0,0,0
Li,Cu,0,0,297,278,0,0,0
Li,Zn,0,0,228,212,0,0,0
Li,Ga,0,0,176,163,0,0,0
Li,Ge,0,0,137,126,0,0,0
Li,As,0,0,107,98,0,0,0
Li,Se,0,0,85,77,0,0,0
Li,Br,0,0,67,61,0,0,0
Li,Kr,0,0,54,49,0,0,0
Li,Rb,0,0,43,39,0,0,0
Li,Sr,0,0,35,31,0,0,0
Li,Y,0,0,29,25,0,0,0
Li,Zr,0,0,24,21,0,0,0
Li,Nb,0,0,19,17,0,0,0
Li,Mo,0,0,16,14,0,0,0
Li,Tc,0,0,13,11,0,0,0
Li,Ru,0,0,11,10,0,0,0
Li,Rh,0,0,9,8,0,0,0
Li,Pd,0,0,8,7,0,0,0
Li,Ag,0,0,7,6,0,0,0
Li,Cd,0,0,6,5,0,0,0
Li,In,0,0,5,4,0,0,0
Li,Sn,0,0,4,3,0,0,0
Li,Sb,0,0,4,3,0,0,0
Li,Te,0,0,3,2,0,0,0
